startip,endip,country,carrier
18537472,18546687,内蒙古通辽市,联通
18546688,18551039,内蒙古呼伦贝尔市,联通
18551040,18551295,内蒙古呼伦贝尔市扎兰屯市,联通
18551296,18554623,内蒙古呼伦贝尔市,联通
18554624,18554879,内蒙古呼伦贝尔市牙克石市,联通
18554880,18557695,内蒙古赤峰市,联通
18557696,18557951,内蒙古赤峰市巴林右旗,联通
18557952,18560767,内蒙古赤峰市,联通
18560768,18561023,内蒙古赤峰市宁城县,联通
18561024,18563071,内蒙古赤峰市,联通
18563072,18565119,内蒙古呼伦贝尔市,联通
18565120,18565375,内蒙古呼伦贝尔市扎兰屯市,联通
18565376,18566399,内蒙古呼伦贝尔市,联通
18566400,18566911,内蒙古呼伦贝尔市海拉尔区,联通
18566912,18569215,内蒙古呼伦贝尔市,联通
18569216,18572031,内蒙古赤峰市,联通
18572032,18572288,内蒙古赤峰市克什克腾旗,联通
18572289,18572289,内蒙古赤峰市巴林左旗,林东镇联通ADSL-BRAS网关(左旗专用)
18572290,18573311,内蒙古赤峰市,联通
18573312,18575359,内蒙古,联通
18575360,18576639,内蒙古通辽市,联通
18576640,18577151,内蒙古通辽市开鲁县,联通
18577152,18584575,内蒙古通辽市,联通
18584576,18584831,内蒙古呼伦贝尔市,联通
18584832,18585087,内蒙古呼伦贝尔市鄂温克旗,联通
18585088,18585599,内蒙古呼伦贝尔市,联通
18585600,18587391,内蒙古兴安盟,联通
18587392,18587647,内蒙古兴安盟突泉县,联通
18587648,18591743,内蒙古兴安盟,联通
18591744,18596607,内蒙古赤峰市,联通
18596608,18596863,内蒙古赤峰市阿鲁科尔沁旗,联通
18596864,18598399,内蒙古赤峰市,联通
18598400,18598911,内蒙古赤峰市喀喇沁旗,联通
18598912,18599167,内蒙古赤峰市,联通
18599168,18599423,内蒙古赤峰市喀喇沁旗,联通
18599424,18606079,内蒙古赤峰市,联通
18606080,18606591,内蒙古赤峰市林西县,联通
18606592,18607615,内蒙古呼伦贝尔市,联通
18607616,18607871,内蒙古呼伦贝尔市阿荣旗,联通
18607872,18608127,内蒙古呼伦贝尔市,联通
18608128,18609151,内蒙古通辽市,联通
18609152,18610175,内蒙古,联通
18610176,18611199,内蒙古兴安盟,联通
18611200,18612223,内蒙古,联通
18612224,18612479,内蒙古包头市达尔罕茂明安联合旗,联通
18612480,18616319,内蒙古包头市,联通
18616320,18620415,内蒙古乌兰察布市,联通
18620416,18628607,内蒙古呼和浩特市,联通
18628608,18630655,内蒙古,联通
18630656,18631679,内蒙古通辽市,联通
18631680,18632703,内蒙古包头市,联通
18632704,18634751,内蒙古乌海市,联通
18634752,18636799,内蒙古,联通
18636800,18640895,内蒙古呼和浩特市,联通
18640896,18641919,内蒙古包头市,联通
18641920,18646015,内蒙古,联通
18646016,18647039,内蒙古呼和浩特市,联通
18647040,18650879,内蒙古,联通
18650880,18653183,内蒙古乌兰察布市,联通
18653184,18655231,内蒙古乌海市,联通
18655232,18658303,内蒙古,联通
18658304,18659327,内蒙古呼和浩特市,联通
18659328,18674687,内蒙古包头市,联通
18674688,18675711,内蒙古乌海市,联通
18675712,18677759,内蒙古包头市,联通
18677760,18678015,内蒙古呼伦贝尔市阿荣旗,联通
18678016,18683135,内蒙古呼伦贝尔市,联通
18683136,18683391,内蒙古呼伦贝尔市满洲里市,联通
18683392,18683647,内蒙古呼伦贝尔市,联通
18683648,18683903,内蒙古呼伦贝尔市满洲里市,联通
18683904,18684159,内蒙古赤峰市宁城县,联通
18684160,18684927,内蒙古赤峰市,联通
18684928,18684928,内蒙古赤峰市巴林左旗,联通林东镇新城区BRAS数据机房
18684929,18684929,内蒙古赤峰市巴林左旗,林东镇联通ADSL-BRAS网关(左旗专用)
18684930,18685183,内蒙古赤峰市巴林左旗,联通林东镇新城区BRAS数据机房
18685184,18686463,内蒙古赤峰市,联通
18686464,18686719,内蒙古赤峰市林西县,联通
18686720,18687231,内蒙古赤峰市,联通
18687232,18687487,内蒙古赤峰市林西县,联通
18687488,18695679,内蒙古赤峰市,联通
18695680,18695935,内蒙古赤峰市巴林右旗,联通
18695936,18697983,内蒙古赤峰市,联通
18697984,18698239,内蒙古赤峰市巴林右旗,联通
18698240,18698495,内蒙古赤峰市,联通
18698496,18698751,内蒙古赤峰市林西县,联通
18698752,18702079,内蒙古赤峰市,联通
18702080,18702335,内蒙古赤峰市宁城县,联通
18702336,18705151,内蒙古赤峰市,联通
18705152,18705407,内蒙古赤峰市宁城县,联通
18705408,18706175,内蒙古赤峰市,联通
18706176,18706431,内蒙古赤峰市翁牛特旗,联通
18706432,18707456,内蒙古赤峰市,联通
18707457,18707457,内蒙古赤峰市巴林左旗,林东镇联通ADSL-BRAS网关(左旗专用)
18707458,18708223,内蒙古赤峰市,联通
18708224,18708479,内蒙古赤峰市巴林左旗,联通
18708480,18708480,内蒙古赤峰市,联通
18708481,18708481,内蒙古赤峰市巴林左旗,林东镇联通ADSL-BRAS网关(左旗专用)
18708482,18716927,内蒙古赤峰市,联通
18716928,18717183,内蒙古通辽市霍林郭勒市,联通
18717184,18719231,内蒙古赤峰市,联通
18719232,18719487,内蒙古赤峰市阿鲁科尔沁旗,联通
18719488,18719743,内蒙古赤峰市,联通
18719744,18719999,内蒙古通辽市霍林郭勒市,联通
18720000,18721023,内蒙古通辽市,联通
18721024,18721279,内蒙古通辽市霍林郭勒市,联通
18721280,18736383,内蒙古通辽市,联通
18736384,18736639,内蒙古通辽市科尔沁左后旗,联通
18736640,18753535,内蒙古赤峰市,联通
18753536,18767871,内蒙古乌兰察布市,联通
18767872,18768127,内蒙古乌兰察布市四子王旗,联通
18768128,18769407,内蒙古乌兰察布市,联通
18769408,18769663,内蒙古乌兰察布市四子王旗,联通
18769664,18780415,内蒙古赤峰市,联通
18780416,18780671,内蒙古鄂尔多斯市乌审旗,联通
18780672,18789631,内蒙古赤峰市,联通
18789632,18789887,内蒙古乌兰察布市丰镇市,联通
18789888,18803711,内蒙古赤峰市,联通
18803712,18803967,内蒙古阿拉善盟,联通
18803968,18810623,内蒙古赤峰市,联通
18810624,18810879,内蒙古赤峰市敖汉旗,联通
18810880,18871295,内蒙古赤峰市,联通
18871296,18871296,内蒙古赤峰市巴林左旗,联通林东镇新城区BRAS数据机房
18871297,18871297,内蒙古赤峰市巴林左旗,林东镇联通ADSL-BRAS网关(左旗专用)
18871298,18871551,内蒙古赤峰市巴林左旗,联通林东镇新城区BRAS数据机房
18871552,18872063,内蒙古赤峰市,联通
18872064,18872319,内蒙古赤峰市巴林左旗,联通
18872320,18874367,内蒙古赤峰市,联通
18874368,18939903,香港,CZ88.NET
18939904,19005439,日本,"东京都港区西新橋NTT PC有限公司"
19005440,19136511,台湾省,中华电信股份有限公司
19136512,19202047,香港,电讯盈科有限公司
19202048,19267583,菲律宾,CZ88.NET
19267584,19398655,印度,CZ88.NET
19398656,19726335,澳大利亚,CZ88.NET
19726336,19791871,北京市,万网志成科技有限公司
19791872,19922943,泰国,CZ88.NET
19922944,19943423,贵州省贵阳市,电信
19943424,19946495,贵州省黔南州,电信
19946496,19946751,贵州省黔南州荔波县,电信
19946752,20013823,贵州省贵阳市,电信
20013824,20014079,贵州省毕节地区威宁县,电信
20014080,20031231,贵州省贵阳市,电信
20031232,20031487,贵州省黔西南州兴义市,电信
20031488,20036863,贵州省贵阳市,电信
20036864,20037119,贵州省黔南州都匀市,电信
